Catalog,ID,Object name (common / designation),Object type,Magnitude,Constellation,RA (J2000),Dec (J2000),Messier overlap
Messier,M1,Crab,Nebula,8.4,", NGC 1952 Nebula Taurus",05h 34m 32s,+22° 00′ 52.1″,
Messier,M2,NGC 7089,Globular Cluster,6.6,Aquarius,21h 33m 27s,-00° 49′ 23.9″,
Messier,M3,NGC 5272,Globular Cluster,6.3,Canes Venatici,13h 42m 11.2s,+28° 22′ 31.6″,
Messier,M4,NGC 6121,Globular Cluster,5.4,Scorpius,16h 23m 35.4s,-26° 31′ 31.9″,
Messier,M5,NGC 5904,Globular Cluster,5.7,Serpens,15h 18m 33.8s,+02° 04′ 57.7″,
Messier,M6,"Butterfly Cluster, NGC 6405",Open Cluster,4.2,Scorpius,17h 40m 20.8s,-32° 15′ 15″,
Messier,M7,"Ptolemy's Cluster, NGC 6475",Open Cluster,3.3,Scorpius,17h 53m 51.2s,-34° 47′ 34.2″,
Messier,M8,Lagoon,Nebula,5.8,", NGC 6533, NGC 6523 Nebula Sagittarius",18h 03m 41.3s,-24° 22′ 48.6″,
Messier,M9,NGC 6333,Globular Cluster,7.8,Ophiuchus,17h 19m 11.8s,-18° 30′ 58.5″,
Messier,M10,NGC 6254,Globular Cluster,6.6,Ophiuchus,16h 57m 9s,-04° 05′ 57.6″,
Messier,M11,"Wild Duck Cluster, NGC 6705",Open Cluster,5.8,Scutum,18h 51m 6s,-06° 16′ 12.1″,
Messier,M12,NGC 6218,Globular Cluster,6.1,Ophiuchus,16h 47m 14.5s,-01° 56′ 52.2″,
Messier,M13,"Great Hercules Cluster, NGC 6205",Globular Cluster,5.8,Hercules,16h 41m 41.6s,+36° 27′ 40.7″,
Messier,M14,NGC 6402,Globular Cluster,7.6,Ophiuchus,17h 37m 36.2s,-03° 14′ 45.3″,
Messier,M15,"Pegasus Cluster, NGC 7078",Globular Cluster,6.3,Pegasus,21h 29m 58.4s,+12° 10′ 0.6″,
Messier,M16,"Eagle Nebula, Star Queen Nebula, NGC 6611",Cluster Nebulosity,6,Serpens,18h 18m 48.2s,-13° 48′ 26″,
Messier,M17,"Omega Nebula, Swan Nebula, NGC 6618",Cluster Nebulosity,6,Sagittarius,18h 20m 47.1s,-16° 10′ 17.5″,
Messier,M18,NGC 6613,Open Cluster,6.9,Sagittarius,18h 19m 58.5s,-17° 06′ 7.1″,
Messier,M19,NGC 6273,Globular Cluster,6.8,Ophiuchus,17h 02m 37.7s,-26° 16′ 4.6″,
Messier,M20,"Trifid Nebula, NGC 6514",Cluster Nebulosity,8.5,Sagittarius,18h 02m 42.1s,-22° 58′ 18.8″,
